title,link,image
Chynna 18th birthday music video,/album/4116539/video/72596779,https://i.vimeocdn.com/video/589810719_295x166.jpg
Sofia@18 SDE,/album/4116539/video/112785908,https://i.vimeocdn.com/video/589814853_295x166.jpg
Chynna turns 18 Birthday Party SDE,/album/4116539/video/75006145,https://i.vimeocdn.com/video/589814099_295x166.jpg
Shirlyn's 18th BIrthday Party Teaser,/album/4116539/video/147551087,https://i.vimeocdn.com/video/546249267_295x166.jpg
Ella 18th Birthday Party SDE,/album/4116539/video/180463686,https://i.vimeocdn.com/video/588798694_295x166.jpg
SOFIA18 Music Video,/album/4116539/video/111751387,https://i.vimeocdn.com/video/589817908_295x166.jpg
Bad Habits,/album/4116539/video/180458791,https://i.vimeocdn.com/video/588798455_295x166.jpg
